# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/ab-hydrolase/contigs-fixed.saf" "-F" "SAF" "-o" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/ab-hydrolase/ab-hydrolase_GC125648.bam_counts.out" "/home/jasper/Test_data/GC125648.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/jasper/Test_data/GC125648.bam
c_000000065082_11	c_000000065082	9927	10850	-	924	0
c_000000065445_1	c_000000065445	1	519	-	519	2
c_000000066315_1	c_000000066315	9	884	-	876	6
c_000000067966_2	c_000000067966	308	1183	-	876	0
c_000000068100_1	c_000000068100	3	656	+	654	2
c_000000068426_7	c_000000068426	3202	4188	+	987	0
c_000000068547_31	c_000000068547	30894	31793	-	900	0
c_000000068547_86	c_000000068547	89819	90613	-	795	0
c_000000068547_103	c_000000068547	109079	110038	+	960	0
c_000000068598_1	c_000000068598	2	280	-	279	1
c_000000069225_6	c_000000069225	5574	6452	-	879	53
c_000000069629_1	c_000000069629	1	990	+	990	3
c_000000069866_1	c_000000069866	2	475	-	474	4
c_000000070278_1	c_000000070278	84	947	-	864	2
c_000000070682_1	c_000000070682	3	332	-	330	38
c_000000073258_3	c_000000073258	1169	1864	-	696	0
c_000000074090_3	c_000000074090	800	1819	+	1020	0
c_000000076051_2	c_000000076051	353	1240	-	888	8
c_000000076061_4	c_000000076061	1179	1739	+	561	0
c_000000076302_1	c_000000076302	3	623	+	621	4
c_000000077279_2	c_000000077279	119	400	+	282	0
c_000000077430_1	c_000000077430	28	309	+	282	0
c_000000078273_2	c_000000078273	89	1375	-	1287	12
c_000000078427_2	c_000000078427	395	1543	-	1149	0
c_000000078628_1	c_000000078628	1	378	-	378	2
c_000000079010_1	c_000000079010	137	1045	+	909	18
c_000000079033_2	c_000000079033	639	1580	-	942	0
c_000000079150_3	c_000000079150	1281	2210	-	930	0
c_000000079216_3	c_000000079216	1758	2792	-	1035	0
c_000000079526_3	c_000000079526	1570	2475	-	906	0
c_000000079792_2	c_000000079792	61	690	-	630	39
c_000000079951_3	c_000000079951	1853	2800	+	948	0
c_000000080062_2	c_000000080062	553	1389	-	837	30
c_000000080883_1	c_000000080883	2	664	+	663	8
c_000000081641_1	c_000000081641	189	1220	+	1032	0
c_000000082648_1	c_000000082648	3	788	-	786	2
c_000000083578_2	c_000000083578	691	1521	-	831	0
c_000000084134_1	c_000000084134	3	668	+	666	2
c_000000084172_1	c_000000084172	3	680	-	678	2
c_000000084623_1	c_000000084623	2	559	+	558	2
c_000000085742_1	c_000000085742	183	509	+	327	0
c_000000085864_1	c_000000085864	3	347	-	345	0
c_000000085889_1	c_000000085889	3	398	-	396	4
c_000000086078_1	c_000000086078	3	1313	-	1311	2
c_000000086532_1	c_000000086532	2	469	-	468	0
c_000000086986_1	c_000000086986	2	283	+	282	0
c_000000087158_1	c_000000087158	1	297	-	297	3
c_000000088046_1	c_000000088046	3	824	+	822	0
c_000000088194_1	c_000000088194	1	387	+	387	6
c_000000089133_17	c_000000089133	14007	14810	-	804	0
c_000000089162_2	c_000000089162	854	1282	-	429	10
c_000000089188_1	c_000000089188	1	342	-	342	4
c_000000089216_1	c_000000089216	2	868	+	867	2
c_000000089883_4	c_000000089883	3694	4629	-	936	0
c_000000090212_1	c_000000090212	2	376	+	375	6
c_000000090261_4	c_000000090261	1398	2363	+	966	0
c_000000090392_6	c_000000090392	4886	5710	-	825	0
c_000000090459_2	c_000000090459	439	1272	-	834	9
c_000000090530_2	c_000000090530	964	1917	+	954	0
c_000000090885_2	c_000000090885	375	1178	+	804	12
c_000000091569_4	c_000000091569	2573	3442	+	870	0
c_000000091570_1	c_000000091570	2	409	-	408	4
c_000000091639_2	c_000000091639	67	861	-	795	26
c_000000092001_1	c_000000092001	2	220	-	219	2
c_000000092458_1	c_000000092458	1	282	-	282	0
c_000000093117_2	c_000000093117	948	1835	+	888	13
c_000000093206_1	c_000000093206	66	617	-	552	8
c_000000093242_2	c_000000093242	197	895	-	699	11
c_000000093672_1	c_000000093672	3	644	+	642	0
c_000000093792_2	c_000000093792	311	907	+	597	0
c_000000093944_1	c_000000093944	2	352	+	351	0
c_000000094688_1	c_000000094688	3	677	+	675	4
c_000000094780_1	c_000000094780	1	660	-	660	0
c_000000095287_1	c_000000095287	3	428	-	426	0
c_000000096291_2	c_000000096291	141	1079	+	939	10
c_000000097219_1	c_000000097219	3	488	+	486	12
c_000000097404_1	c_000000097404	3	962	+	960	4
c_000000097680_6	c_000000097680	1755	2597	-	843	0
c_000000097802_5	c_000000097802	3465	4319	+	855	0
c_000000097872_1	c_000000097872	1	498	-	498	4
c_000000098061_1	c_000000098061	1	213	-	213	2
c_000000098441_2	c_000000098441	137	574	-	438	2
c_000000098689_3	c_000000098689	1578	2306	+	729	0
c_000000098811_1	c_000000098811	3	743	-	741	2
c_000000099066_1	c_000000099066	1	408	+	408	6
c_000000099177_4	c_000000099177	1592	2356	-	765	0
c_000000099475_1	c_000000099475	469	1875	+	1407	15
c_000000100006_14	c_000000100006	10238	11098	+	861	0
c_000000100060_1	c_000000100060	1	255	+	255	0
c_000000100415_1	c_000000100415	3	533	-	531	15
c_000000100821_3	c_000000100821	2012	2767	+	756	0
c_000000101236_1	c_000000101236	3	518	+	516	4
c_000000101857_2	c_000000101857	90	926	-	837	54
c_000000102329_3	c_000000102329	1716	2672	+	957	0
c_000000103134_1	c_000000103134	3	218	-	216	3
c_000000103494_1	c_000000103494	2	673	-	672	0
c_000000104391_1	c_000000104391	1	345	+	345	71
c_000000104445_2	c_000000104445	311	745	+	435	1
c_000000104759_2	c_000000104759	369	1079	-	711	76
c_000000104827_1	c_000000104827	3	686	-	684	12
c_000000105253_1	c_000000105253	2	328	+	327	0
c_000000105417_1	c_000000105417	2	244	+	243	4
c_000000105515_1	c_000000105515	2	310	-	309	0
c_000000106054_4	c_000000106054	1923	2486	+	564	0
c_000000106424_1	c_000000106424	126	503	+	378	0
c_000000106452_1	c_000000106452	1029	2174	+	1146	0
c_000000106468_2	c_000000106468	352	1032	-	681	9
c_000000106548_1	c_000000106548	3	239	+	237	0
c_000000106562_1	c_000000106562	1	552	+	552	11
c_000000106735_2	c_000000106735	104	721	+	618	2
c_000000107426_2	c_000000107426	102	365	+	264	0
c_000000107714_4	c_000000107714	1002	1871	+	870	0
c_000000107847_1	c_000000107847	3	380	-	378	12
c_000000108030_2	c_000000108030	163	942	-	780	3
c_000000108641_3	c_000000108641	1048	1677	-	630	0
c_000000108809_2	c_000000108809	167	814	+	648	4
c_000000109485_1	c_000000109485	3	248	-	246	2
c_000000109577_3	c_000000109577	1785	2495	-	711	0
c_000000109820_2	c_000000109820	317	1078	+	762	0
c_000000109888_1	c_000000109888	2	433	+	432	53
c_000000110064_2	c_000000110064	261	1136	-	876	2
c_000000110209_2	c_000000110209	545	1525	+	981	0
c_000000110556_1	c_000000110556	37	909	-	873	17
c_000000110809_1	c_000000110809	1	720	+	720	3
c_000000111493_1	c_000000111493	1	408	-	408	0
c_000000112353_3	c_000000112353	1629	2543	+	915	0
c_000000112540_5	c_000000112540	5245	5847	-	603	0
c_000000112596_1	c_000000112596	2	559	+	558	12
c_000000113066_1	c_000000113066	3	515	-	513	0
c_000000113582_1	c_000000113582	112	879	+	768	0
c_000000114177_9	c_000000114177	7273	8211	+	939	0
c_000000114960_1	c_000000114960	1	660	+	660	0
c_000000115178_2	c_000000115178	71	814	+	744	5
c_000000115237_1	c_000000115237	2	283	+	282	14
c_000000115889_9	c_000000115889	8732	9547	+	816	0
c_000000115914_2	c_000000115914	543	1499	+	957	0
c_000000115990_1	c_000000115990	3	842	-	840	12
c_000000116705_6	c_000000116705	6559	7473	+	915	0
c_000000116764_1	c_000000116764	219	1124	+	906	0
c_000000117632_16	c_000000117632	12472	13182	+	711	0
c_000000119635_2	c_000000119635	700	1515	+	816	4
c_000000121045_1	c_000000121045	1	933	-	933	57
c_000000121931_6	c_000000121931	4634	5335	+	702	0
c_000000122230_1	c_000000122230	149	880	-	732	4
c_000000123892_17	c_000000123892	17850	18509	+	660	0
c_000000124186_1	c_000000124186	3	242	+	240	2
c_000000125387_1	c_000000125387	3	395	+	393	18
c_000000125514_1	c_000000125514	2	541	-	540	10
c_000000126145_11	c_000000126145	9482	10111	-	630	0
c_000000126459_1	c_000000126459	2	967	+	966	8
c_000000126614_1	c_000000126614	2	307	-	306	1
c_000000126622_1	c_000000126622	1	468	+	468	0
c_000000126663_6	c_000000126663	2498	2872	+	375	0
c_000000126780_1	c_000000126780	3	356	-	354	25
c_000000128852_8	c_000000128852	6677	7531	+	855	0
c_000000129012_2	c_000000129012	241	1086	+	846	4
c_000000129721_1	c_000000129721	1	471	+	471	4
c_000000129885_1	c_000000129885	2	337	-	336	2
c_000000130239_2	c_000000130239	555	1403	-	849	0
c_000000130885_5	c_000000130885	3192	3734	-	543	0
c_000000131483_1	c_000000131483	3	530	+	528	0
c_000000132214_1	c_000000132214	2	400	+	399	1
c_000000132322_1	c_000000132322	1	420	-	420	13
c_000000132851_2	c_000000132851	202	1179	+	978	13
c_000000132856_1	c_000000132856	3	617	-	615	5
c_000000132992_1	c_000000132992	2	337	+	336	4
c_000000133166_1	c_000000133166	264	938	+	675	0
c_000000133817_1	c_000000133817	1	474	-	474	6
c_000000134323_19	c_000000134323	18010	18582	-	573	0
c_000000134334_1	c_000000134334	1	246	-	246	17
c_000000134592_2	c_000000134592	578	1039	+	462	0
c_000000134735_2	c_000000134735	842	1567	+	726	1372
c_000000135120_3	c_000000135120	1014	2030	-	1017	0
c_000000135613_6	c_000000135613	3701	4600	-	900	0
c_000000135754_7	c_000000135754	8062	9333	+	1272	0
c_000000136018_31	c_000000136018	40359	41333	-	975	0
c_000000136490_1	c_000000136490	3	590	+	588	0
c_000000136606_1	c_000000136606	112	330	+	219	0
c_000000136960_5	c_000000136960	3204	3542	-	339	0
c_000000137098_13	c_000000137098	8985	9662	+	678	0
c_000000137507_1	c_000000137507	11	799	-	789	3
c_000000138026_2	c_000000138026	793	1548	+	756	16
c_000000138110_6	c_000000138110	4966	5790	+	825	0
c_000000138301_2	c_000000138301	116	910	-	795	10
c_000000138969_5	c_000000138969	3834	4763	+	930	0
c_000000138979_1	c_000000138979	3	344	+	342	4
c_000000139034_1	c_000000139034	3	644	+	642	10
c_000000139869_2	c_000000139869	337	621	-	285	2
c_000000140317_1	c_000000140317	1	648	-	648	11
c_000000140766_1	c_000000140766	2	322	-	321	3
c_000000140804_5	c_000000140804	2384	3151	+	768	0
c_000000140967_1	c_000000140967	3	848	-	846	6
c_000000141463_1	c_000000141463	1	441	+	441	2
c_000000142080_1	c_000000142080	2	856	+	855	16
c_000000142341_4	c_000000142341	2066	2866	-	801	0
c_000000143507_1	c_000000143507	2	946	-	945	13
c_000000144608_11	c_000000144608	12207	13256	+	1050	0
c_000000144980_6	c_000000144980	3553	4359	-	807	0
c_000000145835_1	c_000000145835	1	333	-	333	0
c_000000146375_1	c_000000146375	41	751	+	711	0
c_000000146575_2	c_000000146575	717	1457	-	741	0
c_000000146761_1	c_000000146761	2	520	-	519	2
c_000000146941_1	c_000000146941	3	452	-	450	2
c_000000146950_1	c_000000146950	2	367	+	366	2
c_000000147182_2	c_000000147182	231	1049	-	819	4
c_000000147446_1	c_000000147446	3	617	+	615	19
c_000000147453_1	c_000000147453	1	291	-	291	6
c_000000147721_2	c_000000147721	85	867	+	783	27
c_000000148083_11	c_000000148083	8336	9229	-	894	0
c_000000148508_2	c_000000148508	477	1247	-	771	0
c_000000149507_2	c_000000149507	717	1457	-	741	0
c_000000149553_1	c_000000149553	2	280	-	279	3
c_000000149850_2	c_000000149850	281	919	+	639	7
c_000000150007_3	c_000000150007	2275	3042	-	768	0
c_000000151528_2	c_000000151528	355	786	+	432	0
c_000000151831_4	c_000000151831	1523	2488	-	966	0
c_000000152129_1	c_000000152129	45	497	+	453	0
c_000000153021_1	c_000000153021	159	1175	+	1017	2
c_000000153159_4	c_000000153159	1803	2525	-	723	11
c_000000153932_31	c_000000153932	40985	41782	-	798	0
c_000000154457_1	c_000000154457	3	731	-	729	20
c_000000155177_3	c_000000155177	1625	2563	-	939	0
c_000000155517_1	c_000000155517	1	672	-	672	0
c_000000155827_2	c_000000155827	665	1591	-	927	0
c_000000155916_1	c_000000155916	198	1085	+	888	11
c_000000156579_2	c_000000156579	436	1017	+	582	0
c_000000156950_3	c_000000156950	1114	2004	+	891	0
c_000000157438_3	c_000000157438	1295	2296	+	1002	0
c_000000157470_1	c_000000157470	3	353	-	351	0
c_000000157558_2	c_000000157558	973	1920	-	948	0
c_000000157885_1	c_000000157885	1	981	+	981	14
c_000000158486_39	c_000000158486	42026	42814	+	789	0
c_000000159455_2	c_000000159455	1130	1921	-	792	0
c_000000159646_2	c_000000159646	478	1254	+	777	0
c_000000160114_1	c_000000160114	3	887	+	885	7
c_000000160236_5	c_000000160236	1424	2221	+	798	0
c_000000161623_1	c_000000161623	3	683	+	681	0
c_000000161892_8	c_000000161892	7804	8712	-	909	0
c_000000161898_1	c_000000161898	1	798	+	798	38
c_000000162442_4	c_000000162442	3089	3946	-	858	0
c_000000162610_1	c_000000162610	3	416	-	414	12
c_000000163415_1	c_000000163415	3	497	-	495	16
c_000000165829_1	c_000000165829	1	606	-	606	0
c_000000166791_1	c_000000166791	3	641	-	639	8
c_000000166904_1	c_000000166904	3	503	-	501	6
c_000000166991_2	c_000000166991	66	947	-	882	2
c_000000167119_7	c_000000167119	2974	3768	+	795	0
c_000000168082_3	c_000000168082	1110	1772	-	663	0
c_000000168752_1	c_000000168752	3	839	-	837	4
c_000000168935_2	c_000000168935	202	1092	+	891	2
c_000000169195_6	c_000000169195	4323	5258	-	936	0
c_000000169195_8	c_000000169195	7943	8857	+	915	0
c_000000169439_8	c_000000169439	7986	8882	+	897	0
c_000000169439_15	c_000000169439	13105	14808	-	1704	0
c_000000169439_41	c_000000169439	47100	48077	-	978	0
c_000000169894_14	c_000000169894	15602	16450	-	849	0
c_000000169894_21	c_000000169894	21036	21995	-	960	0
c_000000171224_12	c_000000171224	11997	12989	-	993	0
c_000000171361_1	c_000000171361	234	1028	+	795	3
c_000000171617_1	c_000000171617	3	347	-	345	10
c_000000172129_3	c_000000172129	2246	2746	+	501	0
c_000000172218_2	c_000000172218	138	713	-	576	1
c_000000172965_1	c_000000172965	62	862	-	801	8
c_000000173189_2	c_000000173189	116	514	+	399	21
c_000000174168_1	c_000000174168	2	406	-	405	6
c_000000174639_2	c_000000174639	380	1243	-	864	0
c_000000174826_3	c_000000174826	1311	2195	-	885	0
c_000000175755_3	c_000000175755	1710	2891	+	1182	0
c_000000176038_1	c_000000176038	2	763	+	762	7
c_000000176450_1	c_000000176450	15	302	-	288	0
c_000000176800_2	c_000000176800	633	1073	+	441	0
c_000000177930_2	c_000000177930	278	1303	-	1026	10
c_000000178841_1	c_000000178841	159	494	+	336	8
c_000000179487_1	c_000000179487	1	957	+	957	2
c_000000180371_1	c_000000180371	1	363	-	363	10
c_000000181495_1	c_000000181495	415	843	+	429	12
c_000000181690_1	c_000000181690	3	710	-	708	2
c_000000182648_2	c_000000182648	66	872	+	807	10
c_000000182744_1	c_000000182744	2	316	+	315	0
c_000000183221_1	c_000000183221	1	432	+	432	35
c_000000183431_1	c_000000183431	2	325	+	324	0
c_000000183537_2	c_000000183537	392	967	-	576	24
c_000000183557_1	c_000000183557	2	502	-	501	0
c_000000184035_1	c_000000184035	2	649	-	648	25
c_000000185343_2	c_000000185343	703	1659	-	957	0
c_000000185743_2	c_000000185743	623	1495	-	873	1
c_000000185743_3	c_000000185743	1590	2270	-	681	0
c_000000185900_1	c_000000185900	165	836	+	672	2
c_000000185998_1	c_000000185998	3	365	-	363	0
c_000000186678_1	c_000000186678	1	576	-	576	5
c_000000187255_1	c_000000187255	2	514	+	513	7
c_000000187727_1	c_000000187727	70	942	+	873	0
c_000000189189_2	c_000000189189	199	987	-	789	16
c_000000189878_2	c_000000189878	482	1420	+	939	0
c_000000190017_1	c_000000190017	1	378	-	378	3
c_000000190104_3	c_000000190104	673	1461	+	789	0
c_000000190262_2	c_000000190262	133	582	+	450	0
c_000000190781_2	c_000000190781	129	1046	-	918	2
c_000000192446_1	c_000000192446	135	911	-	777	6
c_000000192590_1	c_000000192590	3	470	+	468	5
c_000000192846_2	c_000000192846	297	1226	-	930	4
c_000000193880_2	c_000000193880	175	885	+	711	2
c_000000195055_3	c_000000195055	811	1518	+	708	0
c_000000195213_1	c_000000195213	1	606	-	606	7
c_000000195568_1	c_000000195568	2	535	+	534	6
c_000000197874_1	c_000000197874	3	572	-	570	0
c_000000198215_3	c_000000198215	2204	4024	-	1821	0
c_000000198520_1	c_000000198520	3	419	-	417	0
c_000000199085_1	c_000000199085	193	984	+	792	0
c_000000199347_4	c_000000199347	3825	5024	+	1200	0
c_000000199513_2	c_000000199513	329	1234	-	906	0
c_000000199622_1	c_000000199622	1	984	+	984	4
c_000000199804_2	c_000000199804	631	1536	-	906	5
c_000000199904_2	c_000000199904	129	800	-	672	4
c_000000200869_1	c_000000200869	3	800	+	798	15
c_000000202311_13	c_000000202311	6366	7262	+	897	0
c_000000202311_86	c_000000202311	82798	83691	+	894	0
c_000000202373_1	c_000000202373	68	538	+	471	8
c_000000202409_1	c_000000202409	3	650	+	648	0
c_000000202552_2	c_000000202552	481	1035	-	555	0
c_000000202630_1	c_000000202630	3	419	-	417	6
c_000000203593_1	c_000000203593	1	333	-	333	0
c_000000203796_1	c_000000203796	1	441	-	441	0
c_000000203856_1	c_000000203856	2	250	+	249	0
c_000000204060_11	c_000000204060	12874	13317	+	444	0
c_000000204144_2	c_000000204144	1083	1628	+	546	0
c_000000204751_1	c_000000204751	2	367	-	366	0
c_000000204760_4	c_000000204760	2928	3950	+	1023	0
c_000000205177_1	c_000000205177	2	805	-	804	2
c_000000205416_1	c_000000205416	1	393	-	393	0
c_000000205488_5	c_000000205488	2228	3112	+	885	0
c_000000205609_1	c_000000205609	1	309	-	309	4
c_000000205751_1	c_000000205751	70	480	+	411	3
c_000000205854_3	c_000000205854	1318	2133	-	816	0
c_000000206267_1	c_000000206267	3	377	-	375	0
c_000000206279_1	c_000000206279	3	371	-	369	0
c_000000206586_1	c_000000206586	2	544	+	543	0
c_000000206644_1	c_000000206644	1	375	-	375	1
c_000000206726_2	c_000000206726	1010	1615	+	606	0
c_000000207506_3	c_000000207506	1607	2260	-	654	0
c_000000207521_2	c_000000207521	101	724	-	624	2
c_000000207780_2	c_000000207780	141	512	+	372	0
c_000000208028_1	c_000000208028	2	490	+	489	8
c_000000208150_3	c_000000208150	2451	3137	+	687	0
c_000000208454_1	c_000000208454	1	504	-	504	8
c_000000208988_2	c_000000208988	368	1327	-	960	0
c_000000209613_2	c_000000209613	498	1343	+	846	0
c_000000209714_1	c_000000209714	1	615	+	615	0
c_000000210429_1	c_000000210429	3	311	-	309	53
c_000000210463_6	c_000000210463	4846	5631	-	786	0
