# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/pbat/contigs-fixed.saf" "-F" "SAF" "-o" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/pbat/pbat_GC125657.bam_counts.out" "/home/jasper/Test_data/GC125657.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/jasper/Test_data/GC125657.bam
c_000000934208_1	c_000000934208	3	359	-	357	0
c_000000944862_3	c_000000944862	1346	2647	+	1302	0
c_000000950621_1	c_000000950621	1	444	-	444	0
c_000000976644_1	c_000000976644	1	489	+	489	0
c_000000977107_1	c_000000977107	3	398	+	396	0
c_000000981850_1	c_000000981850	1	624	-	624	0
c_000000984181_2	c_000000984181	244	708	-	465	0
c_000000993106_1	c_000000993106	2	715	+	714	0
c_000000993958_1	c_000000993958	2	334	+	333	0
c_000000998058_2	c_000000998058	297	1460	+	1164	0
c_000001000402_1	c_000001000402	1	312	+	312	0
c_000001016127_3	c_000001016127	1715	2125	-	411	0
c_000001020162_1	c_000001020162	1	684	+	684	0
c_000001024429_1	c_000001024429	2	457	-	456	0
c_000001027010_1	c_000001027010	2	349	-	348	0
c_000001033538_1	c_000001033538	2	691	+	690	0
c_000001048272_1	c_000001048272	3	521	+	519	0
c_000001052541_3	c_000001052541	1442	2644	-	1203	0
c_000001052581_1	c_000001052581	2	499	+	498	0
c_000001059176_1	c_000001059176	3	302	-	300	0
c_000001107770_1	c_000001107770	2	778	+	777	0
c_000001115226_3	c_000001115226	1582	2670	-	1089	0
c_000001124539_2	c_000001124539	1016	2239	-	1224	0
c_000001169957_1	c_000001169957	1	432	+	432	0
c_000001176009_2	c_000001176009	237	488	-	252	0
c_000001182480_1	c_000001182480	1	717	+	717	0
c_000001183199_1	c_000001183199	62	1387	+	1326	0
c_000001194078_1	c_000001194078	104	751	+	648	0
c_000001205884_1	c_000001205884	3	674	+	672	0
c_000001231516_1	c_000001231516	13	1323	-	1311	0
c_000001249062_3	c_000001249062	1665	2879	+	1215	0
c_000001260374_4	c_000001260374	1854	3092	-	1239	0
c_000001272153_3	c_000001272153	3271	4566	+	1296	0
c_000001279507_2	c_000001279507	462	1739	-	1278	0
c_000001281300_1	c_000001281300	3	518	+	516	0
